WARNING: --ts faa holds the counter on replica 0 only, so this run tolerates one memory node failing UNLESS it is server 0. That is a weaker failure model than the 2-of-3 commit otherwise gives.
Node arena:   262154 nodes, 0.0156256 GiB per memory server
Vector arena: 2000010 vectors, 0.596049 GiB per memory server -- caps writes at 2000000 per client for the whole run
Experiment: << Workload: /users/adb321/disco-skip-artifacts/workloads/oops-workloade-scan32
timestamps:   faa (global counter, one point of failure)
cache:        on  offset-hint: on  async: 1  maxrange: 32  latency: on
Selected device: uverbs0
ibp8s0 uverbs0 NodeType::CA TransportType::IB
Binded successfully (port_id, port_lid) = (1, 130)
[CB:info] PD 'primary' registered
[CB:info] Buffer 'shared-buf' of size 4032 allocated
Client region: 4032 bytes
[CB:info] Mr 'shared-mr' under PD 'primary' registered with buf 'shared-buf' (offset: 0, length: 4032) and rights 15
[CB:info] Cq 'cq1' registered
[CB:info] Cq 'cq2' registered
[CB:info] Cq 'cq3' registered
[CE:info] Publishing qp qp-4-for-1
[CE:info] Publishing qp qp-4-for-2
[CE:info] Publishing qp qp-4-for-3
[CE:info] Connected to qp qp-1-for-4 with rights 15
[CE:info] Connected to qp qp-2-for-4 with rights 15
[CE:info] Connected to qp qp-3-for-4 with rights 15
[CE:info] Unpublishing qp qp-4-for-1
[CE:info] Unpublishing qp qp-4-for-2
[CE:info] Unpublishing qp qp-4-for-3
Bootstrap: wrote 5 nodes + 5 vectors (4 heads + 1 data node) to 3 replica(s)
Querying YCSB for the set of initial key-pairs... Done.
Inserting the initial key-pairs...  Done.
Configuring Client 4
Querying YCSB for the list of operations... Done. Packed 1000000 operations: 0 read, 0 update, 949878 scan, 50122 insert.
Waiting for the initialization of other clients... Done.
Running the benchmark (YCSB Swarm Engine)... 
Done. Results:
45%: 35.400us.
46%: 35.700us.
47%: 36.000us.
48%: 36.300us.
49%: 36.600us.
50%: 36.800us.
51%: 37.000us.
52%: 37.200us.
53%: 37.400us.
54%: 37.600us.
55%: 37.800us.
56%: 38.000us.
57%: 38.200us.
58%: 38.500us.
59%: 38.800us.
60%: 39.100us.
61%: 39.400us.
62%: 39.700us.
63%: 40.000us.
64%: 40.200us.
65%: 40.400us.
66%: 40.700us.
67%: 40.900us.
68%: 41.100us.
69%: 41.400us.
70%: 41.700us.
71%: 42.000us.
72%: 42.400us.
73%: 42.700us.
74%: 43.000us.
75%: 43.400us.
76%: 43.600us.
77%: 43.900us.
78%: 44.200us.
79%: 44.600us.
80%: 44.900us.
81%: 45.300us.
82%: 45.700us.
83%: 46.200us.
84%: 46.600us.
85%: 47.000us.
86%: 47.400us.
87%: 47.800us.
88%: 48.300us.
89%: 48.900us.
90%: 49.500us.
91%: 50.200us.
92%: 50.800us.
93%: 51.600us.
94%: 52.600us.
95%: 53.600us.
96%: 54.600us.
97%: 56.000us.
98%: 57.800us.
99%: 60.800us.
99.9%: 69.400us.


################ Operations:
gets:         0 ok, 0 not-found, 0 FAILED
              0 cache hits, 0 misses, 0 kmin mismatch
puts:         109374 resolved, 0 FAILED (95367 height-0, 14007 structural)
              95331 hinted, 36 hint misses, 22624 hint rejected
ranges:       178126 resolved, 0 FAILED, 178126 hit the entry cap
              2942945 entries, 757311 nodes walked, 0 skipped (newer than the snapshot)
              0 old_ver hops, 1943820 vector reads
writes:       109968 published, 0 cas lost, 2797 retries, 0 retry-budget exhausted
quorum:       2356331 node reads -> 10080005 replica reads, 0 re-polls
              0 stale votes, 0 tag ties, 0 writebacks
              0 L2 read repairs, 0 reached majority
Local tput: 27 kops
Local duration: 3s
###DONE###
