WARNING: --ts faa holds the counter on replica 0 only, so this run tolerates one memory node failing UNLESS it is server 0. That is a weaker failure model than the 2-of-3 commit otherwise gives.
Node arena:   262154 nodes, 0.0156256 GiB per memory server
Vector arena: 2000010 vectors, 0.596049 GiB per memory server -- caps writes at 2000000 per client for the whole run
Experiment: << Workload: /users/adb321/disco-skip-artifacts/workloads/oops-workloade-scan8
timestamps:   faa (global counter, one point of failure)
cache:        on  offset-hint: on  async: 1  maxrange: 8  latency: on
Selected device: uverbs0
ibp8s0 uverbs0 NodeType::CA TransportType::IB
Binded successfully (port_id, port_lid) = (1, 130)
[CB:info] PD 'primary' registered
[CB:info] Buffer 'shared-buf' of size 3456 allocated
Client region: 3456 bytes
[CB:info] Mr 'shared-mr' under PD 'primary' registered with buf 'shared-buf' (offset: 0, length: 3456) and rights 15
[CB:info] Cq 'cq1' registered
[CB:info] Cq 'cq2' registered
[CB:info] Cq 'cq3' registered
[CE:info] Publishing qp qp-4-for-1
[CE:info] Publishing qp qp-4-for-2
[CE:info] Publishing qp qp-4-for-3
[CE:info] Connected to qp qp-1-for-4 with rights 15
[CE:info] Connected to qp qp-2-for-4 with rights 15
[CE:info] Connected to qp qp-3-for-4 with rights 15
[CE:info] Unpublishing qp qp-4-for-1
[CE:info] Unpublishing qp qp-4-for-2
[CE:info] Unpublishing qp qp-4-for-3
Bootstrap: wrote 5 nodes + 5 vectors (4 heads + 1 data node) to 3 replica(s)
Querying YCSB for the set of initial key-pairs... Done.
Inserting the initial key-pairs...  Done.
Configuring Client 4
Querying YCSB for the list of operations... Done. Packed 1000000 operations: 0 read, 0 update, 949823 scan, 50177 insert.
Waiting for the initialization of other clients... Done.
Running the benchmark (YCSB Swarm Engine)... 
Done. Results:
45%: 27.800us.
46%: 27.900us.
47%: 28.000us.
48%: 28.100us.
49%: 28.300us.
50%: 28.500us.
51%: 28.700us.
52%: 29.000us.
53%: 29.200us.
54%: 29.400us.
55%: 29.600us.
56%: 29.700us.
57%: 29.800us.
58%: 30.000us.
59%: 30.100us.
60%: 30.200us.
61%: 30.300us.
62%: 30.400us.
63%: 30.500us.
64%: 30.700us.
65%: 30.800us.
66%: 30.900us.
67%: 31.000us.
68%: 31.200us.
69%: 31.300us.
70%: 31.500us.
71%: 31.700us.
72%: 32.000us.
73%: 32.200us.
74%: 32.500us.
75%: 32.700us.
76%: 32.900us.
77%: 33.100us.
78%: 33.300us.
79%: 33.500us.
80%: 33.600us.
81%: 33.800us.
82%: 34.000us.
83%: 34.300us.
84%: 34.500us.
85%: 34.800us.
86%: 35.200us.
87%: 35.500us.
88%: 35.900us.
89%: 36.200us.
90%: 36.500us.
91%: 36.800us.
92%: 37.200us.
93%: 37.700us.
94%: 38.300us.
95%: 39.000us.
96%: 39.700us.
97%: 40.400us.
98%: 41.700us.
99%: 43.600us.
99.9%: 49.500us.


################ Operations:
gets:         0 ok, 0 not-found, 0 FAILED
              0 cache hits, 0 misses, 0 kmin mismatch
puts:         109482 resolved, 0 FAILED (95461 height-0, 14021 structural)
              95425 hinted, 36 hint misses, 22650 hint rejected
ranges:       178018 resolved, 0 FAILED, 178018 hit the entry cap
              799894 entries, 334708 nodes walked, 0 skipped (newer than the snapshot)
              0 old_ver hops, 1520496 vector reads
writes:       110076 published, 0 cas lost, 2802 retries, 0 retry-budget exhausted
quorum:       1933620 node reads -> 8388796 replica reads, 0 re-polls
              0 stale votes, 0 tag ties, 0 writebacks
              0 L2 read repairs, 0 reached majority
Local tput: 34 kops
Local duration: 2s
###DONE###
