Node arena:   524298 nodes, 0.0312506 GiB per memory server
Vector arena: 1000010 vectors, 0.298026 GiB per memory server -- caps writes at 500000 per client for the whole run
Experiment: << Workload: /users/adb321/disco-skip-artifacts/workloads/oops-workloadd-latest
timestamps:   clock (disciplined CLOCK_REALTIME)
cache:        on  offset-hint: on  async: 1  maxrange: 10  latency: on
Selected device: uverbs0
mlx4_0 uverbs0 NodeType::CA TransportType::IB
Binded successfully (port_id, port_lid) = (1, 68)
[CB:info] PD 'primary' registered
[CB:info] Buffer 'shared-buf' of size 3520 allocated
Client region: 3520 bytes
[CB:info] Mr 'shared-mr' under PD 'primary' registered with buf 'shared-buf' (offset: 0, length: 3520) and rights 15
[CB:info] Cq 'cq1' registered
[CB:info] Cq 'cq2' registered
[CB:info] Cq 'cq3' registered
[CB:info] Cq 'cq4' registered
[CE:info] Publishing qp qp-5-for-1
[CE:info] Publishing qp qp-5-for-2
[CE:info] Publishing qp qp-5-for-3
[CE:info] Publishing qp qp-5-for-4
[CE:info] Connected to qp qp-1-for-5 with rights 15
[CE:info] Connected to qp qp-2-for-5 with rights 15
[CE:info] Connected to qp qp-3-for-5 with rights 15
[CE:info] Connected to qp qp-4-for-5 with rights 15
[CE:info] Unpublishing qp qp-5-for-1
[CE:info] Unpublishing qp qp-5-for-2
[CE:info] Unpublishing qp qp-5-for-3
[CE:info] Unpublishing qp qp-5-for-4
Configuring Client 5
Querying YCSB for the list of operations... Done. Packed 1000000 operations: 949958 read, 50042 update, 0 scan, 0 insert.
Waiting for the initialization of other clients... Done.
Running the benchmark (YCSB Swarm Engine)... 
Done. Results:
52%: 8.080us.
53%: 8.090us.
54%: 8.110us.
55%: 8.130us.
56%: 8.150us.
57%: 8.170us.
58%: 8.190us.
59%: 8.200us.
60%: 8.220us.
61%: 8.240us.
62%: 8.270us.
63%: 8.290us.
64%: 8.310us.
65%: 8.340us.
66%: 8.370us.
67%: 8.410us.
68%: 8.440us.
69%: 8.480us.
70%: 8.530us.
71%: 8.590us.
72%: 8.670us.
73%: 8.750us.
74%: 8.840us.
75%: 9.030us.
76%: 9.310us.
77%: 9.640us.
78%: 9.850us.
79%: 9.980us.
80%: 10.160us.
81%: 10.340us.
82%: 10.540us.
83%: 10.960us.
84%: 14.040us.
85%: 30.700us.
86%: 32.400us.
87%: 33.700us.
88%: 34.900us.
89%: 35.600us.
90%: 36.400us.
91%: 37.500us.
92%: 38.200us.
93%: 39.400us.
94%: 40.600us.
95%: 42.400us.
96%: 43.600us.
97%: 45.600us.
98%: 47.700us.
99%: 52.000us.
99.9%: 70.000us.


################ Operations:
gets:         178162 ok, 0 not-found, 0 FAILED
              166990 cache hits, 11 misses, 11161 kmin mismatch
puts:         9338 resolved, 0 FAILED (8144 height-0, 1194 structural)
              8143 hinted, 1 hint misses, 500 hint rejected
writes:       10112 published, 7 cas lost, 27 retries, 0 retry-budget exhausted
Local tput: 205 kops
Local duration: 0s
###DONE###
